作品id,开始学习,完成,不感兴趣,状态,Done Time,Start Time
"学习之道 (芭芭拉·奥克利, Barbara Oakley) (Z-Library)_merged",,,,DOING,,2025年11月14日 18:18 (GMT+8)
学习之道 美国公认学习第一书-乔希维茨金_merged,,,,DOING,,2025年11月14日 18:10 (GMT+8)
别独自用餐_merged,,,,DOING,,2025年11月13日 21:04 (GMT+8)
瞬变如何让你的世界变好一些 (奇普.希思 丹.希思 [奇普.希思 丹.希思]) (Z-Library,,,,TODO,,
进化心理学,,,,TODO,,
野心优雅——任志强,,,,TODO,,
稀缺 (穆来纳森) (Z-Library),,,,TODO,,
谈判力-[美] 罗杰·费希尔,,,,TODO,,
门口的野蛮人：史上最强悍的资本收购,,,,TODO,,
美国种族简史,,,,TODO,,
知识分子与社会 - 托马斯•索维尔 & ePUBw.COM,,,,TODO,,
"社会性动物 (Elliot Aronson [Aronson, Elliot]) (Z-Librar",,,,TODO,,
社会心理学（第8版）,,,,TODO,,
简读中国史：世界史坐标下的中国(拆解历史大问题，历史学者张宏杰二十年思考全新力作！葛剑雄、许纪霖、许,,,,TODO,,
简单的逻辑学 ([美] D·Q·麦克伦尼) (Z-Library),,,,TODO,,
这才是心理学：看穿伪心理学的本质-基思・斯坦诺维奇,,,,TODO,,
跃迁：成为高手的技术,,,,TODO,,
税的真相,,,,TODO,,
身体从未忘记：心理创伤疗愈中的大脑、心智和身体 ([美]巴塞尔·范德考克 (Bessel van d,,,,TODO,,
"精力管理 (吉姆·洛尔 (Jim Loehr), 托尼·施瓦茨 (Tony Schwartz)) (",,,,TODO,,
金融的逻辑 (陈志武) (Z-Library),,,,TODO,,
纳瓦尔宝典（硅谷投资人纳瓦尔十年人生智慧，教你如何获得财富与幸福。新时代创业者的《穷查理宝典》）,,,,TODO,,
经济学通识 (薛兆丰) (Z-Library),,,,TODO,,
经济学思维方式,,,,TODO,,
翦商：殷周之变与华夏新生 (李硕) (Z-Library),,,,TODO,,
赢,,,,TODO,,
煤气灯效应：如何认清并摆脱别人对你生活的隐性控制 = The Gaslight Effect ：Ho,,,,TODO,,
看脸(前沿社会心理学研究成果，心理学博士科学解读人类拼颜值、外貌控背后的秘密。),,,,TODO,,
理解人性,,,,TODO,,
狂热分子：码头工人哲学家的沉思录,,,,TODO,,
牛奶可乐经济学,,,,TODO,,
煤气灯效应：如何认清并摆脱别人对你生活的隐性控制 = The Gaslight Effect ：Ho,,,,TODO,,
漫长的告别,,,,TODO,,
津巴多时间心理学,,,,TODO,,
棉花帝国：一部资本主义全球史（以棉花工业历史描述资本主义全球化进程，用“战争资本主义”概念颠覆“自由,,,,TODO,,
杰克·韦尔奇自传,,,,TODO,,
杰克·韦尔奇自传 (杰克·韦尔奇（Jack Welch）， 约翰·拜恩（John A. Byrne）,,,,TODO,,
期货市场入门,,,,TODO,,
"有些事现在不做，一辈子都不会做了（5册合集）-有些事现在不做,一辈子都不会做了(1-5)(套装共5册",,,,TODO,,
旧制度与大革命（史学珍珠 权威全译本，了解法国大革命必读书）,,,,TODO,,
旁观者：管理大师德鲁克回忆录(珍藏版) ([美] 彼得·德鲁克（Peter F.Drucker） 著,,,,TODO,,
基辛格作品：论中国,,,,TODO,,
情绪急救,,,,TODO,,
如何让你爱的人爱上你+%5B美%5D莉尔·朗兹+%28婚恋两性%2B心理学%29,,,,TODO,,
如何控制自己的情绪：最有效的22个情绪管理定律,,,,TODO,,
如何从商品期货交易中获利,,,,TODO,,
君主论 - 马基雅维利,,,,TODO,,
台湾四百年：了解过去的台湾，理解现在的台湾 (许倬云) (Z-Library),,,,TODO,,
伟大的博弈(kindle正版),,,,TODO,,
人世间,,,,TODO,,
拖延心理学,,,,TODO,,
KK三部曲(失控+科技想要什么+必然) (KK系列),,,,TODO,,
"1984 (乔治·奥威尔（George Orwell）, 孙仲旭 译) (Z-Library)",,,,TODO,,
21世纪资本论 (无),,,,TODO,,
%28社会心理学%29路西法效应+：好人是如何变成恶魔的,,,,TODO,,
活法 (稻盛和夫 [稻盛和夫]) (Z-Library),,,,TODO,,
横向领导力,,,,TODO,,
黑天鹅：如何应对不可预知的未来 = The Black Swan The Impact of the,,,,TODO,,
赫逊河畔谈中国历史 (黄仁宇 Ray Huang) (Z-Library),,,,TODO,,
好的婚姻，要守护财产和爱,,,,TODO,,
过得刚好,,,,TODO,,
怪诞行为学：可预测的非理性 ([美]丹·艾瑞里) (Z-Library),,,,TODO,,
故事思维,,,,TODO,,
沟通的艺术（插图修订第14版）,,,,TODO,,
"工作、消费主义和新穷人 = Work, Consumerism and the New Poor (",,,,TODO,,
跟任何人都聊得来最受世界500强企业欢迎的沟通课,,,,TODO,,
