作品id,Create Date,Done Time,Start Time,Update Date,不感兴趣,作品时长,作品时长秒,作品标题,作品网址,分享量,分类,发布时间,完成,序号,开始学习,播放量,收藏量,点赞量,状态,评论量
《影响历史的商业七巨头》_merged,2025年11月7日 13:08,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
【精排】如何阅读一本书 - 莫提默·J·艾德勒_merged,2025年11月7日 13:09,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
【精排】硬球 - 克里斯·马修曾_merged,2025年11月7日 13:09,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
《南渡北归》三部全集 - 岳南_merged,2025年11月7日 13:10,,,2025年11月10日 15:01,,,,,,,,,,,,,,,TODO,
《社会性动物》 - 埃利奥特.阿伦森_merged,2025年11月7日 13:10,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
《叔本华思想随笔》－[德] 阿图尔·叔本华_merged,2025年11月7日 13:11,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
J 【比《一九八四》《美丽新世界》更深邃不安的预言，布克奖得主追问人类命运之作，布克奖决选作品，娱乐_merged,2025年11月7日 14:10,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
OKR工作法 (孙雪峰；唐文纲；蔡楚檾；相佩蓉) (Z-Library)_merged,2025年11月7日 14:11,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
半小时漫画预防常见病（漫画式科普开创者二混子新作！稍稍改变生活习惯，轻松扫除常见病隐患。） - 陈磊_merged,2025年11月7日 14:36,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
别独自用餐_merged,2025年11月7日 14:36,,2025年11月13日 21:04 (GMT+8),2025年11月13日 21:04,,,,,,,,,,,,,,,DOING,
别让猴子跳回背上_merged,2025年11月7日 14:36,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
兵者不祥：一部以武器为主题的战争史（高晓松作序、河森堡推荐！180万粉丝博主“幻想狂刘先生”力作！）_merged,2025年11月7日 14:36,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
伯恩斯新情绪疗法_merged,2025年11月7日 14:36,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
博弈论(一切博弈论的源起之作)_merged,2025年11月7日 14:36,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
吃掉那只青蛙 ([美]博恩·崔西 [許海燕 譯]) (Z-Library)_merged,2025年11月7日 14:37,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
从0到1_merged,2025年11月7日 14:37,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
"从零开始的女性主义 (上野千鶴子, 田房永子) (Z-Library)_merged",2025年11月7日 14:37,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
从优秀到卓越 (吉姆·柯林斯) (Z-Library)_merged,2025年11月7日 14:37,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
从优秀到卓越_merged,2025年11月7日 14:38,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
大明王朝1566 (刘和平) (Z-Library)_merged,2025年11月7日 14:38,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
大明王朝的七张面孔 (张宏杰) (Z-Library)_merged,2025年11月7日 14:38,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
大脑喜欢听你这样说：利用12个认知原理决定别人记住什么（输出有诀窍，抓住就洗脑。哈佛神经学家教你科学_merged,2025年11月7日 14:38,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
大脑想要这样学：高效学习的认知心理学方法 (丹尼尔·T.威林厄姆) (Z-Library)_merged,2025年11月7日 14:39,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
"大数据时代生活,工作与思维的大变革 (湛庐文化•财富汇) (维克托•迈尔-舍恩伯格 肯尼思•库克耶_merged",2025年11月7日 14:39,,,2025年11月9日 14:52,,,,,,,,,,,,,,,TODO,
